Sno,Date,Day,Hour of Day,Trip Start Time HHMM,Pickup District, DropOff District,Distance Travelled,Trip Duration in Seconds,Trip End Time,Taxi Number,Taxi Type,Taxi Capacity,Number Of Passengers,Trip Fare,Passenger ID,Passenger Name
127,1-Jan-24,Mon,3,03:53,Thomson,Tanjong Rhu,23.1,3593,04:51,SHX1122,Standard,4,2,49.6,10625,Margaret Seet
128,1-Jan-24,Mon,3,03:53,Kembangan,Bukit Timah,17.1,2112,04:27,SHY5235,Mini Cab,4,1,36.8,12035,Gillian Lye
129,1-Jan-24,Mon,3,03:53,Chai Chee,Kranji,7.1,773,03:06,SHY5653,Limosine,4,2,15.32,11453,Norah Peng
130,1-Jan-24,Mon,3,03:54,Bouna Vista,Bukit Timah,5,1031,03:11,SHX8996,Limosine,4,1,14.56,12385,Mabel Tang
131,1-Jan-24,Mon,3,03:55,Yishun,Watten Estate,18,1656,03:22,SHZ8314,Standard,4,4,35.91,10172,Declan Tu
132,1-Jan-24,Mon,3,03:55,Braddell,Killiney,3.3,593,03:05,SHZ8314,Standard,4,2,9.91,11362,Kayleigh Zou
133,1-Jan-24,Mon,3,03:55,Tanglin,High Street,4.1,966,03:11,SHY6572,Mini Cab,4,1,13.54,10420,Shaun Gu
134,1-Jan-24,Mon,3,03:55,Woodgrove,Ang Mo Kio,3.2,685,03:07,SHY7639,Premier,4,3,10.05,12136,Arnold Bao
135,1-Jan-24,Mon,3,03:56,Upper Thomson,Shenton Way,5.9,835,03:10,SHY9384,Standard,4,4,14.92,10634,Francis Chui
136,1-Jan-24,Mon,3,03:58,Hong Leong Garden,Paya Lebar ,21.8,2421,04:38,SHY8246,Premier,5,1,37.31,11051,Gwendoline Chow
137,1-Jan-24,Mon,3,03:03,Pasir Ris,Hillview,29.4,2871,04:50,SHZ4390,Maxi Cab,6,6,54.69,10387,Evelyn Wu
138,1-Jan-24,Mon,3,03:04,Bencoolen Road,Moulmein,6.8,850,03:18,SHY4510,Standard,4,2,14.5,10170,Hilda Fung
139,1-Jan-24,Mon,3,03:05,Hume Avenue,Tengah,4.4,674,03:16,SHY0224,Standard,4,1,12.26,12032,Eric Kim
140,1-Jan-24,Mon,3,03:06,High Street,Tagore,6.4,968,03:22,SHX5407,Standard,4,4,15.29,11110,Samantha Chee
141,1-Jan-24,Mon,3,03:06,Bouna Vista,Harbourfront,12.8,1806,04:35,SHX1271,Maxi Cab,6,6,26.69,10683,Stuart Kwong
142,1-Jan-24,Mon,3,03:08,Chai Chee,Tiong Bahru,15.4,1487,04:32,SHY9309,Limosine,4,3,29.55,12000,Clive Zhai
143,1-Jan-24,Mon,3,03:09,Bouna Vista,Geylang,21.8,3349,04:04,SHX5287,Standard,4,3,47.58,11657,Maria Gan
144,1-Jan-24,Mon,3,03:11,Orchard,Woodgrove,5.8,871,03:26,SHY3769,Mini Cab,3,1,14.41,11022,Kay Ko
145,1-Jan-24,Mon,3,03:11,Flora,Newton,23.7,3721,04:12,SHY4188,Standard,4,1,52.45,12271,Darren Ng
146,1-Jan-24,Mon,3,03:13,Clementi,Macpherson,19.5,3083,04:03,SHY5810,Standard,4,3,47.28,11431,Joseph Yan
147,1-Jan-24,Mon,3,03:15,Little India,Cecil,5.1,915,04:29,SHY4765,Premier,4,1,11.5,12432,Teresa Qin
148,1-Jan-24,Mon,3,03:15,Yishun,Paya Lebar ,2.9,588,03:25,SHY8962,Mini Cab,3,3,8.77,11395,Alexander Leow
149,1-Jan-24,Mon,3,03:15,Bishan,Golden Mile,9.8,913,04:29,SHX8712,Maxi Cab,7,4,23.3,11546,Damian Man
150,1-Jan-24,Mon,3,03:16,High Street,Kranji,12.5,1869,04:47,SHY2458,Premier,4,1,29.26,11274,Kathleen He
151,1-Jan-24,Mon,3,03:19,Admiralty Road,Bukit Panjang,22.2,2688,04:03,SHX4666,Maxi Cab,7,1,48.44,12148,Damien An
152,1-Jan-24,Mon,3,03:21,Joo Chiat,Ponggol,6.6,931,04:35,SHX3754,Mini Cab,4,1,16.05,10173,Mirza Atwal
153,1-Jan-24,Mon,3,03:21,Anson,Katong,18.8,2571,04:03,SHY7607,Standard,4,3,38.82,11607,Ross Hou
154,1-Jan-24,Mon,3,03:26,Sims,Amber Road,3.8,682,04:36,SHY7702,Mini Cab,4,2,11,10408,Hazel Won
155,1-Jan-24,Mon,3,03:26,Changi,Anson,21.7,2767,04:11,SHY0482,Maxi Cab,7,6,45.93,11105,Sandra Yeung
156,1-Jan-24,Mon,4,04:26,Telok Blangah,Ardmore,7.6,1060,04:43,SHX9583,Standard,4,2,17.75,11997,Graham Heng
157,1-Jan-24,Mon,4,04:27,East Coast,Orchard Boulevard,19.7,2313,04:05,SHX3015,Standard,4,4,37.75,10803,Daniel Zou
158,1-Jan-24,Mon,4,04:27,Ardmore,Sembawang,14.5,2426,04:08,SHX5482,Limosine,4,1,34.91,10235,Scott Xie
159,1-Jan-24,Mon,4,04:28,Upper Bukit Timah,Tanjong Rhu,26,3048,04:18,SHX3643,Standard,4,2,55.83,12279,Habeeba Ahmed
160,1-Jan-24,Mon,4,04:28,Dairy Farm,Queenstown,17.8,2403,04:08,SHY8435,Maxi Cab,6,6,38.94,11614,Michelle Chin
161,1-Jan-24,Mon,4,04:29,Cecil,Grange Road,6.8,1008,04:45,SHX4488,Limosine,4,1,16.37,11498,Faizia Abdullah
162,1-Jan-24,Mon,4,04:30,Dairy Farm,Telok Blangah,17.2,1692,04:58,SHY9309,Limosine,4,2,34.07,11871,Liam Lei
163,1-Jan-24,Mon,4,04:30,Clementi,Suntec City,9.3,1409,04:54,SHY1298,Standard,4,2,21.45,10739,Trevor Liew
164,1-Jan-24,Mon,4,04:31,Dunearn Road,Joo Chiat,20.5,2468,04:12,SHY1448,Standard,4,1,41.64,11195,William Chee
165,1-Jan-24,Mon,4,04:32,Tanjong Rhu,Simei,4.8,603,04:42,SHX3493,Mini Cab,4,1,12.62,11089,Patrick Qin
166,1-Jan-24,Mon,4,04:35,Clementi,Redhill,12.4,1836,04:06,SHZ4361,Premier,4,4,26.06,11779,Bertha Wang
167,1-Jan-24,Mon,4,04:39,Eunos,Little India,8.8,1331,04:01,SHZ7886,Standard,4,2,18.59,11040,Robert Ting
168,1-Jan-24,Mon,4,04:39,Cairnhill,Macpherson,7.5,975,04:55,SHZ8918,Mini Cab,3,3,19.02,10496,Joan Low
169,1-Jan-24,Mon,4,04:40,Sentosa,Chancery ,10,1909,04:11,SHY7521,Mini Cab,3,3,24.52,10632,Martin Leong
170,1-Jan-24,Mon,4,04:42,Marine Parade,Springleaf,23,4135,05:50,SHX1131,Mini Cab,4,3,50.71,10497,Betty Tan
171,1-Jan-24,Mon,4,04:44,Moulmein,Kranji,16.8,2331,04:23,SHZ7567,Standard,4,3,36.61,11250,Frederick Ke
172,1-Jan-24,Mon,4,04:45,Tanglin,People’s Park,7.5,919,04:00,SHX9762,Standard,4,2,16.47,10711,Allan Chong
173,1-Jan-24,Mon,4,04:46,Katong,Thomson,8.8,1156,04:05,SHX5521,Limosine,4,2,18.73,12182,Muriel Eng
174,1-Jan-24,Mon,4,04:46,Chai Chee,Bedok,1.3,393,04:53,SHY4332,Maxi Cab,7,5,6.37,10727,Sylvia Ren
175,1-Jan-24,Mon,4,04:48,Raffles Place,Watten Estate,9.1,1333,04:11,SHZ1386,Standard,4,4,19.35,11952,Gordon Qu
176,1-Jan-24,Mon,4,04:49,Macpherson,Bishan,5,721,04:01,SHZ8918,Standard,4,1,12.61,10877,Leigh Yu
177,1-Jan-24,Mon,4,04:49,Seletar,Dunearn Road,15,2241,05:26,SHY8331,Standard,4,3,29.88,10211,Alan Chong
178,1-Jan-24,Mon,4,04:51,Ulu Pandan,Suntec City,12.2,1403,04:14,SHX5562,Limosine,4,3,24.48,11902,Shannon Seow
179,1-Jan-24,Mon,4,04:52,Changi,Tampines,2.5,500,04:00,SHX1122,Standard,4,3,8.71,11763,Ann Qi
180,1-Jan-24,Mon,4,04:52,Kembangan,Harbourfront,9.1,1574,04:19,SHY7467,Limosine,4,1,22.5,12350,Victoria Khoo
181,1-Jan-24,Mon,4,04:54,Serangoon Garden,Thomson,15.2,2028,05:27,SHX8437,Standard,4,2,34.2,12269,Nicholas Lam
182,1-Jan-24,Mon,4,04:57,Grange Road,Sungei Gedong,10.3,1632,04:24,SHY4969,Mini Cab,4,3,27.76,10837,Martyn Wu
183,1-Jan-24,Mon,4,04:58,Serangoon Garden,Chinatown,12.5,1849,05:28,SHX9696,Standard,4,1,30.61,10160,Sarah Chang
184,1-Jan-24,Mon,4,04:59,Pasir Panjang,Flora,28.5,3772,05:01,SHX4904,Standard,4,3,61.5,11492,James Ni
185,1-Jan-24,Mon,4,04:03,Simei,Keppel,13.9,1721,05:30,SHY1429,Standard,4,2,30.13,11274,Kathleen He
186,1-Jan-24,Mon,4,04:05,Bishan,Bedok,9.7,1499,05:29,SHY4629,Standard,4,4,22.86,11398,Jodie Lim
187,1-Jan-24,Mon,4,04:06,Tampines,Marine Parade,4.1,650,04:17,SHZ5870,Premier,4,1,12.06,10551,Helen Mo
